Well,X,Y,Sampling year,Sampling season,pH,Ca,Mg,K,Na,Cl,SO4,HCO3,Fe,F,NH4
J21,707152,3291489,2011,wet,7.66,129.97,43.9,1.66,13.25,4.36,1,704.01,4.09,0.22,5.4355
J21,707152,3291489,2012,dry,7.38,129.25,42.74,1.64,14.08,4.5,1,692.12,4.34,0.17,18.64
J21,707152,3291489,2012,wet,7.68,128.47,40.41,2.77,14.6,4.7,1,680.33,4.15,0.15,17.08
J21,707152,3291489,2013,dry,7.68,128.68,41.56,1.14,16.78,4.39,1,672.36,4.85,0.18,14.75
J21,707152,3291489,2013,wet,7.63,126.65,40.96,2.25,15.21,4.26,0.23,649.28,5.65,0.16,5.44
J21,707152,3291489,2014,dry,7.24,124.42,35.8,2.38,15.42,4.27,0.4,661.69,4.88,0.16,3.88
J21,707152,3291489,2014,wet,7.69,121.42,34.52,2.4,16.3,4.3,1,576.79,4.63,0.18,3.88
J22,721168,3321156,1992,dry,7.1,125.3,19,1.6,17.1,6.2,5,520,2.4,0.08,0.44
J22,721168,3321156,1992,wet,7.1,99.8,39.5,1.2,12.6,8.8,5,515,5.2,0.08,n.d.
J22,721168,3321156,1993,dry,7.7,114.6,19,1.1,13.2,7.5,2.5,480,2.4,0.12,2.6
J22,721168,3321156,1993,wet,7.4,103.9,19.5,1.1,13.6,7.5,2.5,437.5,2.4,0.12,0.12
J22,721168,3321156,1994,dry,7.4,139.3,19.5,1.3,13,7.5,5,540,2.2,0.12,0.17
J22,721168,3321156,1995,dry,7,143.5,18.5,0.8,12.3,5,2.5,562.5,2.4,0.12,0.64
J22,721168,3321156,1995,wet,7.2,164.9,23,1.7,25,30,2.5,617.8,3.1,n.d.,0.48
J22,721168,3321156,1996,dry,7.1,141.81,18,1.3,12.7,6.25,1,550.03,2.5,0.12,0.44
J22,721168,3321156,1996,wet,7.4,129.45,23,1.4,20.2,32.5,1,515.03,3,0.04,0.52
J22,721168,3321156,1997,dry,6.98,140.99,19,1.07,13.1,7.5,1,542.53,1.6,0.12,0.42
J22,721168,3321156,1997,wet,7.21,160.78,24.5,1.1,18.57,31.25,1,615.03,2.8,0.12,0.4
J22,721168,3321156,1998,dry,7.2,139.34,20,1.4,19.3,5,1,555.03,2.4,0.12,0.52
J22,721168,3321156,1998,wet,7.72,130.27,22,1.14,11.76,3.75,1,537.53,2,0.12,0.6
J22,721168,3321156,1999,dry,6.85,140.99,19.5,1.2,13.2,5,1,555.03,2.6,0.08,0.4
J22,721168,3321156,1999,wet,7.36,136.04,19,1.1,13.7,6.25,1,535.03,2,0.08,0.4
J22,721168,3321156,2000,dry,7.8,127.8,23,1.17,20,28.75,2,505.03,2.4,0.12,0.58
J22,721168,3321156,2000,wet,7.5,136.87,19,1.2,12.22,3.75,1,537.53,2.2,0.08,0.48
J22,721168,3321156,2001,dry,7.2,136.87,18.5,1.18,13.08,7.5,1,527.53,2.3,0.08,0.52
J22,721168,3321156,2001,wet,7.22,131.92,20.5,1.22,12.5,6.25,1,540.03,2.1,0.16,0.46
J22,721168,3321156,2002,dry,6.98,138.52,20.5,1.553,12.879,7.5,1,540.03,2.2,0.12,0.31
J22,721168,3321156,2002,wet,7.6,124.5,18.5,1.49,11.82,6.25,1,477.52,0.36,0.16,n.d.
J22,721168,3321156,2003,dry,7.9,140.17,18.5,1.43,13.09,8.75,1,540.03,2.2,0.08,0.43
J22,721168,3321156,2003,wet,7.48,102.24,17.5,1.16,13.53,7.5,1,427.52,2.2,0.12,0.25
J22,721168,3321156,2004,dry,8.3,135.22,18,1.16,13.34,6.25,1,507.53,2.4,0.16,0.56
J22,721168,3321156,2004,wet,8.12,74.21,18.5,1.11,12.54,6.25,0.5,330.02,2.2,0.12,n.d.
J22,721168,3321156,2005,dry,7.33,134.39,21.5,0.93,12.46,3.75,4,535,2.3,0.12,0.5
J22,721168,3321156,2005,wet,7.6,126.15,18,1.11,12.33,6.25,0.2,510,2.4,0.08,0.52
J22,721168,3321156,2006,dry,8.33,132.74,21,1.11,11.71,5,1,505,2.2,0.12,0.39
J22,721168,3321156,2007,dry,7.28,136.87,18.5,1.1,12.03,5,2,530,2.4,0.08,0.47
J22,721168,3321156,2007,wet,7.66,84.1,28.5,1.04,10.79,46.25,1,342.5,2.2,0.08,0.08
J22,721168,3321156,2008,dry,7.51,138.52,18,1.23,11.91,3.75,1,530,2.2,0.08,0.37
J22,721168,3321156,2008,wet,7.65,131.1,17.5,1,11.66,6.25,1,515,2.2,0.16,0.22
J22,721168,3321156,2009,dry,7.51,129.45,28.5,1.78,12.03,2.5,1,575,2,0.08,0.23
J22,721168,3321156,2009,wet,7.4,206.95,47.5,0.98,28.34,98.75,100,667.5,5.6,0.16,0.62
J22,721168,3321156,2010,dry,7.63,160.78,25.5,1.22,18.42,31.25,1,617.5,13,0.08,0.56
J22,721168,3321156,2010,wet,7.39,136.87,18.5,1.11,11.65,2.5,1,537.5,1.7,0.1,0.37
J22,721168,3321156,2011,dry,8.42,128.62,23.5,1.01,10.59,6.25,1,512.5,2,0.12,0.37
J22,721168,3321156,2011,wet,7.38,126.85,18.88,1.62,12.5,5.59,1,532.76,1.63,0.11,n.d.
J22,721168,3321156,2012,dry,7.64,162.93,25.66,1.62,20.72,39.19,1,625.72,2.53,0.04,0.7
J22,721168,3321156,2012,wet,7.76,151.96,25.18,1.55,15.79,16.79,8,614.81,2.29,0.11,n.d.
J22,721168,3321156,2013,dry,7.88,142.68,20.91,1.84,14.9,14.65,0.5,589.58,2.15,0.12,n.d.
J22,721168,3321156,2013,wet,7.68,115.43,19.45,2.48,11.33,3.4,6.09,488.13,2.06,0.09,0.47
J22,721168,3321156,2014,dry,7.57,137.98,23.7,1.39,14.84,11.12,2,574.3,1.96,0.06,0.16
J22,721168,3321156,2014,wet,7.5,133.87,20.91,1.76,12.49,5.56,1,546.43,1.91,0.12,n.d.
J23,743971,3306275,1992,dry,7.1,55.2,8.5,6.9,23.7,21.2,50,205,0.8,0.24,8.8
J23,743971,3306275,1992,wet,7.9,37.1,35,2.2,16,1.2,2.5,340,7.2,0.12,2.6
J23,743971,3306275,1993,dry,6.9,154.2,38,2.3,17.1,2.5,2.5,732.5,6.4,0.16,0.96
J23,743971,3306275,1993,wet,7.1,152.5,37.5,2.1,17.7,1.2,2.5,715,7.2,0.16,2.4
J23,743971,3306275,1994,wet,7.1,153.4,40,2.7,18.1,1.2,2.5,720,6.5,0.48,2.2
J23,743971,3306275,1995,dry,7.4,153.4,38.5,1.5,16.4,2.5,5,730,7.2,0.16,3.4
J23,743971,3306275,1995,wet,7,156.7,38,2.9,21.5,1.3,2.5,707.9,6.6,0.2,2.9
J23,743971,3306275,1996,dry,7.1,153.36,38,2.4,17.3,3.75,1,707.54,6.75,0.16,2.32
J23,743971,3306275,1996,wet,7,152.53,46.5,2.3,18.3,1.25,1,720.04,9.2,0.2,3.6
J23,743971,3306275,1997,wet,7.29,148.41,40,2.2,15.71,1.25,1,700.03,12,0.12,3.6
J23,743971,3306275,1998,dry,7.57,142.64,37.5,2.4,22.5,3.75,1,685.03,4.8,0.12,3.6
J23,743971,3306275,1998,wet,7.14,140.99,36.5,2.29,15.88,2.5,1,665.03,1.8,0.2,3.2
J23,743971,3306275,1999,dry,7.41,146.76,37,2.5,17.5,3.75,1,680.03,28,0.16,3.7
J23,743971,3306275,1999,wet,7.71,129.45,36,1.9,18.6,5,1,632.53,6.4,0.24,3.2
J23,743971,3306275,2000,dry,7.33,146.76,36.5,2.38,16.25,3.75,1,687.53,6,0.16,5.2
J23,743971,3306275,2000,wet,7.88,151.71,37.5,2.1,16.67,5,1,712.54,7.4,0.16,3.4
J23,743971,3306275,2001,dry,7.5,148.41,36,2.18,19.23,5,1,700.03,8.2,0.16,4
J23,743971,3306275,2001,wet,6.95,168.2,39.5,1.88,18.33,7.5,1,757.54,6.4,0.12,5
J23,743971,3306275,2002,dry,7,134.39,38,3.734,17.422,6.25,0.2,627.53,7.5,0.2,0.06
J23,743971,3306275,2002,wet,7.5,137.69,36.5,2.79,16.48,7.5,0.8,617.53,7,0.2,0.5
J23,743971,3306275,2003,dry,7.8,131.92,43.5,2.13,16.77,11.25,13,625.03,14,0.12,3.88
J23,743971,3306275,2003,wet,7.5,108.83,35.5,2.18,18.71,12.5,1,550.03,5.6,0.2,2.48
J23,743971,3306275,2004,dry,8.27,106.36,27.5,2.05,10.79,2.5,1,515.03,5.8,0.08,9
J23,743971,3306275,2004,wet,8.31,95.64,28,2.24,9.98,2.5,1,380.02,17,0.08,n.d.
J23,743971,3306275,2005,dry,7.09,107.19,32,2.28,10.3,1.25,2,547.5,16,0.12,14
J23,743971,3306275,2005,wet,7.46,112.96,27,2.43,10.03,5,0.2,540,18,0.08,13
J23,743971,3306275,2006,dry,7.89,179.74,37.5,1.11,25.45,46.25,150,470,n.d.,0.12,0.02
J23,743971,3306275,2006,wet,7.6,135.22,33,1.17,22.85,40,150,352.5,0.6,0.16,n.d.
J23,743971,3306275,2007,dry,7.53,191.28,46.5,0.87,22.91,110,100,560,7,0.08,0.5
J23,743971,3306275,2007,wet,7.38,209.42,49,0.79,23.06,110,100,602.5,6.5,0.08,n.d.
J23,743971,3306275,2008,dry,7.48,183.86,37.5,0.95,28.28,68.75,35,672.5,3,0.15,1.4
J23,743971,3306275,2008,wet,7.43,193.76,51.5,0.91,26.4,93.75,75,660,7,0.08,0.93
J23,743971,3306275,2009,wet,7.45,122.03,35.5,2.3,12.57,2.5,1,582.5,2,0.2,0.09
J23,743971,3306275,2010,dry,7.54,221.79,47.5,1.48,55.32,100,160,680,0.1,0.08,0.1
J23,743971,3306275,2010,wet,7.2,220.97,49.5,0.82,24.28,112.5,94,655,6,0.12,0.78
J23,743971,3306275,2011,dry,7.4,177.27,40.5,0.78,23.23,63.75,12,692.5,5.6,0.08,0.5
J23,743971,3306275,2011,wet,7.36,207.01,47.2,1.79,40.44,67.04,150,621.56,n.d.,0.07,n.d.
J23,743971,3306275,2012,dry,7.59,222.46,51.79,2.51,57.37,74.18,180,685.89,0.13,0.05,n.d.
J23,743971,3306275,2012,wet,7.7,216.2,41.81,1.92,50,50.38,175,650.28,0.28,0.07,n.d.
J23,743971,3306275,2013,dry,7.15,218.04,42.3,2.23,51.4,57.13,140,695.7,0.26,0.07,n.d.
J23,743971,3306275,2013,wet,7.26,173.95,37.92,2.64,46.67,38.77,138.47,517.54,0.28,0.03,n.d.
J23,743971,3306275,2014,dry,7.26,164.3,40.15,1.24,44.4,41.69,106.28,624.23,25.53,0.06,0.54
J23,743971,3306275,2014,wet,6.97,124.24,31.12,3.24,11.92,11.12,8,558.58,28.68,0.1,3.49
J24,758952.48,3341781.28,1992,dry,7.7,106.4,26.5,1.7,18,2.5,2.5,522.5,5.6,0.12,1.9
J24,758952.48,3341781.28,1992,wet,7,107.2,32,1.2,15.8,6.2,10,540,5.6,0.12,0.8
J24,758952.48,3341781.28,1993,dry,7.1,123.7,27,1.1,16.8,3.8,2.5,567.5,4.8,0.12,0.96
J24,758952.48,3341781.28,1993,wet,6.9,113.8,28,0.7,9.1,2.5,2.5,512.5,12,0.12,1.6
J24,758952.48,3341781.28,1994,wet,7.1,114.6,28,1.3,8.8,2.5,2.5,515,7.5,0.44,1.8
J24,758952.48,3341781.28,1995,dry,7.4,70.1,24,1.4,19.6,17.5,20,332.5,1.4,0.24,0.16
J24,758952.48,3341781.28,1995,wet,7,117.9,26.5,1.4,10.6,3.8,2.5,512.8,5.8,0.2,2.8
J24,758952.48,3341781.28,1996,dry,8,103.06,28.5,1.1,15.5,3.75,1,487.52,5,0.16,2.24
J24,758952.48,3341781.28,1997,dry,7.72,128.62,31.5,0.86,15.95,1.25,1,582.53,2.4,0.08,1.28
J24,758952.48,3341781.28,1997,wet,7.58,128.62,30,0.95,14.29,0.01,1,595.03,5.6,0.16,1.8
J24,758952.48,3341781.28,1998,dry,7.52,131.1,30.5,1.2,20.5,2.5,1,600.03,6,0.08,2
J24,758952.48,3341781.28,1998,wet,7.5,131.1,31,1.14,15.29,1.25,1,585.03,1.6,0.2,2.4
J24,758952.48,3341781.28,1999,dry,7.38,133.57,29.5,1.3,16.9,1.25,0.6,605.03,6,0.16,2.04
J24,758952.48,3341781.28,1999,wet,7.49,133.57,29,0.8,17.3,2.5,1,605.03,4.8,0.12,1.6
J24,758952.48,3341781.28,2000,dry,7.3,136.04,29,1.12,13.75,1.25,1,610.03,5.8,0.08,1.8
J24,758952.48,3341781.28,2000,wet,7.55,136.04,28.5,1,15.56,2.5,1,605.03,4.2,0.16,2.8
J24,758952.48,3341781.28,2001,dry,7.44,137.69,29.5,1.09,17.69,1.25,1,612.53,6.1,0.12,2
J24,758952.48,3341781.28,2001,wet,7,122.85,28,1.38,14.67,7.5,2,520.03,2,0.08,0.2
J24,758952.48,3341781.28,2002,dry,7.23,120.38,27.5,1.764,14.892,2.5,1,532.53,1.7,0.08,0.02
J24,758952.48,3341781.28,2002,wet,7.6,112.13,28,1.43,7.61,2.5,1.2,500.02,7,0.16,2.48
J24,758952.48,3341781.28,2003,dry,7.98,106.36,29,1.54,13.47,6.25,1,505.03,2,0.08,1.24
J24,758952.48,3341781.28,2003,wet,7.46,84.92,26,1.28,15.46,2.5,1,432.52,2,0.12,0.71
J24,758952.48,3341781.28,2004,dry,7.84,95.64,27.5,1.31,15.51,2.5,1,467.52,1.6,0.08,0.9
J24,758952.48,3341781.28,2004,wet,7.9,109.66,28,1.23,14.58,1.25,0.4,520.03,2,0.24,1.3
J24,758952.48,3341781.28,2005,dry,7.43,125.32,29.5,0.7,18.02,1.25,2,590,6,0.16,1.25
J24,758952.48,3341781.28,2005,wet,8.02,124.5,28.5,0.64,18.91,2.5,0.2,567.5,6,0.24,1.8
J24,758952.48,3341781.28,2006,dry,7.9,127.8,26,1.12,6.2,1.25,9,532.5,2.6,0.08,0.58
J24,758952.48,3341781.28,2006,wet,7.7,131.1,35,0.77,18.66,28.75,1,565,6.8,0.2,1.55
J24,758952.48,3341781.28,2007,dry,7.1,112.96,27,1.08,7.68,1.25,2,497.5,11,0.08,1.71
J24,758952.48,3341781.28,2007,wet,7.29,98.12,34,1,6.77,2.5,1,495,15.28,0.08,1.86
J24,758952.48,3341781.28,2008,dry,7.46,115.43,26,1.14,7.33,2.5,1,500,2.8,0.08,1.32
J24,758952.48,3341781.28,2008,wet,8.22,87.4,28,1.09,8.52,5,1,395,12.5,0.08,2.8
J24,758952.48,3341781.28,2009,dry,7.62,80.8,17,0.66,20.44,1.25,1,392.5,0.8,0.12,n.d.
J24,758952.48,3341781.28,2009,wet,7.52,139.34,34.5,1.19,16.88,5,40,582.5,4,0.2,0.78
J24,758952.48,3341781.28,2010,dry,7.2,126.97,27,1.08,5.39,1.25,1,535,3.2,0.2,0.78
J24,758952.48,3341781.28,2010,wet,8.28,122.03,30,0.93,7.25,2.5,1,505,3.8,0.08,1.24
J24,758952.48,3341781.28,2011,dry,7.36,126.15,27.5,1,6.04,1.25,1,542.5,3.6,0.08,0.78
J24,758952.48,3341781.28,2011,wet,7.42,129.19,28.32,1.49,7.41,2.79,1,539.11,3.54,0.04,n.d.
J24,758952.48,3341781.28,2012,dry,7.65,117.5,35.16,2.9,10.64,6.6,1,565.56,23.38,0.12,11.65
J24,758952.48,3341781.28,2012,wet,7.8,97.13,33.26,1.64,9.22,5.6,1,472.93,2.89,0.05,n.d.
J24,758952.48,3341781.28,2013,dry,7.75,126.65,27.23,1.75,8.68,4.39,1,571.89,2.55,0.06,0.78
J24,758952.48,3341781.28,2013,wet,7.24,145.89,26.25,4.76,8.88,6.22,6.03,635.16,21.7,0.05,10.09
J24,758952.48,3341781.28,2014,dry,7.41,126.02,28.06,1.56,8.82,2.78,2,568.05,2.71,0.03,0.93
J24,758952.48,3341781.28,2014,wet,7.46,125.05,28.2,1.83,7.66,2.78,1,546.43,2.69,0.1,0.7
J25,752711.53,3364435.24,1992,dry,7,135.2,28,1.3,12.6,7.5,7.5,595,2.88,0.12,1.7
J25,752711.53,3364435.24,1992,wet,7.1,136.9,28,1.2,10,7.5,7.5,602.5,2,0.08,1.7
J25,752711.53,3364435.24,1993,dry,7,136,30.5,1.5,10.6,5,2.5,600,2.4,0.08,0.8
J25,752711.53,3364435.24,1993,wet,7,136.9,29.5,1.4,11.4,6.2,7.5,580,2.4,0.12,1
J25,752711.53,3364435.24,1994,dry,7.6,87.4,28,1.7,9.6,7.5,2.5,440,2,0.08,0.86
J25,752711.53,3364435.24,1994,wet,7.5,88.2,29,1.8,10.6,6.2,2.5,437.5,1.8,0.32,1.08
J25,752711.53,3364435.24,1995,dry,6.9,136,29,2.1,11.9,8.8,10,597.5,2,0.08,1.8
J25,752711.53,3364435.24,1995,wet,7.3,138.5,28,2.2,14.5,6.3,2.5,590.3,2.8,n.d.,2.2
J25,752711.53,3364435.24,1996,dry,7.3,137.69,29.5,1.7,10.9,6.25,1,597.53,3.6,0.12,3
J25,752711.53,3364435.24,1996,wet,7,140.17,28,1.6,11.6,6.25,1,590.03,2.3,0.08,2
J25,752711.53,3364435.24,1997,dry,7.85,136.04,28,1.45,10.65,7.5,1,577.53,2.2,0.08,1.52
J25,752711.53,3364435.24,1997,wet,8.1,91.52,34,1.55,10,6.25,1,455.02,2.4,0.12,2.2
J25,752711.53,3364435.24,1998,dry,7.16,136.04,30,1.8,14.8,10,1,585.03,1.8,0.08,2
J25,752711.53,3364435.24,1998,wet,7.59,132.74,30.5,1.57,10,7.5,1,582.53,1.8,0.12,2.8
J25,752711.53,3364435.24,1999,wet,7.21,170.67,39.5,3.7,20.3,37.5,1,742.54,5.2,0.08,11
J25,752711.53,3364435.24,2000,dry,7.19,174.79,42.5,5.75,25,50,1,750.04,6,0.12,8.5
J25,752711.53,3364435.24,2000,wet,6.91,162.43,47,4.7,24.44,47.5,1,770.04,9.6,0.12,9
J25,752711.53,3364435.24,2001,dry,7.08,181.39,39.5,5,29.23,47.5,1,770.04,11,0.12,12
J25,752711.53,3364435.24,2001,wet,7.06,178.09,40,5,24.67,45,2,762.54,13.2,0.08,14
J25,752711.53,3364435.24,2002,dry,7.36,122.03,41.5,8.693,30.028,55,5.2,525.03,9,0.08,0.02
J25,752711.53,3364435.24,2002,wet,7.8,95.64,34.5,2.08,22.64,38.75,4.4,460.02,8,0.2,1.24
J25,752711.53,3364435.24,2003,dry,7.88,176.44,43.5,4.63,22.76,45,5,760.04,11,0.08,9.32
J25,752711.53,3364435.24,2003,wet,7.51,145.11,46,7.56,34.93,10,10,762.54,8.4,0.12,6.83
J25,752711.53,3364435.24,2004,dry,7.83,137.08,40.5,4.82,26.08,41.25,1,647.53,5.2,0.08,9
J25,752711.53,3364435.24,2004,wet,7.82,162.43,34.5,1.1,20.05,20,50,625.03,0.2,0.2,0.12
J25,752711.53,3364435.24,2005,dry,7.45,151.71,28.5,0.65,27.2,35,60,557.5,0.02,0.2,n.d.
J25,752711.53,3364435.24,2005,wet,7.67,131.92,41.5,5.22,27.17,51.25,0.2,632.5,10.4,0.12,10.5
J25,752711.53,3364435.24,2006,dry,7.97,178.09,43.5,7.32,31.24,57.5,1,747.5,16.4,0.08,4.97
J25,752711.53,3364435.24,2006,wet,7.57,110.48,60,2.37,55.78,162.5,20,500,23,0.12,4.97
J25,752711.53,3364435.24,2007,dry,7.83,142.64,39,0.68,26.39,42.5,52,535,0.12,0.12,n.d.
J25,752711.53,3364435.24,2007,wet,8.15,79.98,23.5,0.53,25.24,46.25,64,242.5,0.12,0.08,n.d.
J25,752711.53,3364435.24,2008,dry,7.29,165.72,29.5,0.63,25.84,46.25,80,530,0.8,0.22,n.d.
J25,752711.53,3364435.24,2008,wet,7.66,128.62,30,0.55,25.36,46.25,30,435,0.1,0.12,0.02
J25,752711.53,3364435.24,2009,dry,7.55,127.8,30,1.06,17.24,3.75,1,590,3.2,0.2,0.62
J25,752711.53,3364435.24,2009,wet,7.39,136.87,21,0.76,26.96,43.75,50,422.5,0.02,0.2,0.31
J25,752711.53,3364435.24,2010,dry,7.38,151.71,25,0.71,26.03,48.75,100,465,0.06,0.12,n.d.
J25,752711.53,3364435.24,2010,wet,7.47,151.71,25,0.63,26.4,56.25,60,437.5,0.18,0.2,n.d.
J25,752711.53,3364435.24,2011,dry,7.49,159.95,20,0.54,24.76,41.25,12,530,n.d.,0.12,0.06
J25,752711.53,3364435.24,2011,wet,7.59,105.84,28.79,0.98,31.5,16.76,27,437.63,0.07,0.18,n.d.
J25,752711.53,3364435.24,2012,dry,7.75,160.76,37.06,1.28,29.17,39.19,60,589.62,0.05,0.15,n.d.
J25,752711.53,3364435.24,2012,wet,7.58,150.4,35.63,2.72,0.92,47.59,60,508.4,0.16,0.12,n.d.
J25,752711.53,3364435.24,2013,dry,7.45,184.36,30.14,1.39,32.23,48.34,27.5,607.26,0.11,0.15,n.d.
J25,752711.53,3364435.24,2013,wet,7.28,144.28,33.06,1.71,26.97,43.59,60.98,488.13,0.13,0.1,n.d.
J25,752711.53,3364435.24,2014,dry,7.22,179.46,31.93,0.94,30.78,38.91,59.73,636.72,0.11,0.12,n.d.
J25,752711.53,3364435.24,2014,wet,7.84,92.99,15.07,3.95,23.39,25.03,50,297.5,0.74,0.65,n.d.
J26,703971,3364526,1992,dry,6.9,136,36,1.3,27.6,6.2,5,647.5,12,0.2,0.96
J26,703971,3364526,1993,dry,7.1,136.9,38,0.8,14.9,12.5,12.5,632.5,7.2,0.2,0.08
J26,703971,3364526,1993,wet,7.5,127.8,37.5,0.7,12.7,6.2,2.5,600,12,0.12,0.64
J26,703971,3364526,1994,wet,6.9,135.2,36.5,1,13.1,6.2,2.5,615,n.d.,0.48,0.4
J26,703971,3364526,1995,dry,6.9,132.7,35,1.3,14.8,10,7.5,635,10.7,0.2,1.04
J26,703971,3364526,1995,wet,7.4,103.1,19,1.7,23.5,1.3,2.5,452.7,2.58,0.2,1.44
J26,703971,3364526,1996,dry,8,115.43,25.5,2.3,10,3.75,1,482.52,6.25,0.12,5
J26,703971,3364526,1996,wet,7.4,102.24,23.5,1.7,20.4,1.25,2,487.52,1.8,0.08,2
J26,703971,3364526,1997,dry,7.14,98.94,24.5,1.29,20.13,2.5,1,472.52,1.6,0.08,1.24
J26,703971,3364526,1997,wet,8.1,89.05,29.5,1.3,18.57,0.01,1,455.02,2,0.12,1.8
J26,703971,3364526,1998,dry,6.89,104.71,23,2.1,21.6,1.25,1,485.02,2,0.08,1.2
J26,703971,3364526,1998,wet,7.53,95.64,28.5,1.43,20,1.25,1,470.02,1.8,0.12,2.2
J26,703971,3364526,1999,dry,7.18,99.76,24,1.7,20.8,2.5,1,480.02,1.7,0.16,1.58
J26,703971,3364526,1999,wet,7.04,93.99,23,1.3,21.4,2.5,1,465.02,1.4,0.08,1.2
J26,703971,3364526,2000,dry,7.72,96.47,22.5,1.44,20,1.25,1,462.52,1.4,0.12,1.6
J26,703971,3364526,2000,wet,7.3,86.57,23.5,1.4,23.33,1.25,1,447.52,1.6,0.08,1.3
J26,703971,3364526,2001,dry,7.01,117.08,24.5,2.58,11.43,5,1,525.03,8.4,0.08,6.4
J26,703971,3364526,2001,wet,7.58,96.47,23,1.5,22,2.5,1,465.02,1.8,0.08,1.8
J26,703971,3364526,2002,dry,7.95,83.27,23.5,2.011,22.422,2.5,1,420.02,1.4,0.08,1.71
J26,703971,3364526,2002,wet,7.5,79.98,25,2.24,24.75,1.25,0.4,442.52,1.4,0.08,1.09
J26,703971,3364526,2003,dry,7.97,75.85,25,1.43,20.52,6.25,1,400.02,1.2,0.08,1.4
J26,703971,3364526,2003,wet,7.25,65.14,22,1.35,25.54,10,1,367.52,1.4,0.08,1.09
J26,703971,3364526,2004,dry,8.28,95.64,24,1.3,21.14,2.5,1,450.02,1.4,0.08,1.7
J26,703971,3364526,2004,wet,8.1,119.55,25.5,1.98,10.12,2.5,1,512.53,2.4,0.08,5.2
J26,703971,3364526,2005,dry,7.62,98.94,23,1.42,22.2,1.25,1,472.5,1.8,0.08,1.4
J26,703971,3364526,2005,wet,8.05,84.92,25,1.38,21.35,5,0.2,435,1.6,0.12,1.2
J26,703971,3364526,2006,dry,8.32,94.82,23.5,1.38,22,1.25,1,457.5,1.4,0.12,0.74
J26,703971,3364526,2006,wet,8.1,65.14,24,1.36,23.77,30,1,320,1.2,0.12,1.09
J26,703971,3364526,2007,dry,7.62,89.05,21.5,1.38,23.54,2.5,1,442.5,0.9,0.08,1.32
J26,703971,3364526,2007,wet,8.23,56.89,26,1.3,19.47,11.25,1,340,1.4,0.08,1.71
J26,703971,3364526,2008,dry,7.5,67.61,39.5,1.54,21.88,1.25,2,457.5,1.6,0.08,1.4
J26,703971,3364526,2008,wet,8.32,85.75,22.5,1.38,21.53,2.5,1,410,1.4,0.24,1.16
J26,703971,3364526,2009,dry,7.38,160.78,30,0.93,34.84,55,60,572.5,n.d.,0.24,n.d.
J26,703971,3364526,2009,wet,8.46,105.54,26,1.6,18.36,10,1,450,2,0.24,1.55
J26,703971,3364526,2010,dry,7.6,98.12,23,1.51,20.15,2.5,1,467.5,1.6,0.08,1.55
J26,703971,3364526,2010,wet,7.56,100.59,23,1.38,19.86,2.5,1,462.5,1.7,0.08,1.09
J26,703971,3364526,2011,dry,7.65,104.71,25.5,1.36,16.37,3.75,6,482.5,2.4,0.08,1.4
J26,703971,3364526,2011,wet,8.13,100.39,22.66,1.96,23.96,44.7,2,405.91,1.62,0.02,n.d.
J26,703971,3364526,2012,dry,7.8,101.83,29.46,2.49,21.25,2.8,1,505.39,1.58,0.05,1.71
J26,703971,3364526,2012,wet,7.9,89.3,20.91,1.98,21.08,9.8,8,431.55,1.9,0.05,n.d.
J26,703971,3364526,2013,dry,7.66,135.47,39.38,1.64,13.2,5.86,2,672.12,9,0.16,0.23
J26,703971,3364526,2013,wet,7.42,129.06,17.02,6.34,46.67,39.98,77.82,376.39,0.18,0.35,n.d.
J26,703971,3364526,2014,wet,7.56,117.84,20.42,3.91,40.44,38.93,52,382.5,0.54,0.23,n.d.
J27,725808,3383839,1993,wet,7.3,70.1,14,1.3,29,1.2,2.5,357.5,4.8,0.2,0.02
J27,725808,3383839,1994,wet,7.1,71.7,12.5,1,29.9,1.2,5,367.5,1.24,0.32,0.44
J27,725808,3383839,1995,dry,7.5,71.7,14,1.2,35.5,3.8,12.5,372.5,1.4,0.16,0.52
J27,725808,3383839,1995,wet,8,62.7,17,0.9,29.9,1.3,2.5,335.2,0.95,0.16,0.72
J27,725808,3383839,1996,dry,7.2,72.56,14,1,29,1.25,1,367.52,1.4,0.12,0.68
J27,725808,3383839,1996,wet,7,73.38,14,1,30,1.25,2,362.52,1.4,0.28,0.12
J27,725808,3383839,1997,dry,7.22,71.73,13.5,0.95,31.88,1.25,0.5,362.52,1.4,0.04,0.42
J27,725808,3383839,1997,wet,8.36,70.08,13,1.64,27.24,0.01,1,330.02,1,0.16,0.52
J27,725808,3383839,1998,dry,7.17,70.91,12.5,1.5,29.8,2.5,0.5,372.52,1.5,0.12,0.46
J27,725808,3383839,1998,wet,7.68,68.43,14,0.9,28.4,2.5,3.6,357.52,1.2,0.24,0.68
J27,725808,3383839,1999,dry,7.9,69.26,14,1.2,29,1.25,0.6,352.52,0.6,0.16,0.66
J27,725808,3383839,1999,wet,7.4,70.91,12,1,30.8,1.25,1,357.52,0.6,0.24,0.5
J27,725808,3383839,2000,dry,8.29,72.56,12,0.88,27.5,1.25,1,340.02,1.6,0.16,0.68
J27,725808,3383839,2000,wet,7.42,71.73,12,0.9,28,1.25,1,360.02,1.6,0.12,0.64
J27,725808,3383839,2001,dry,7.45,69.26,13.5,1,30,1.25,1,357.52,1.5,0.2,0.48
J27,725808,3383839,2001,wet,8.1,73.38,12,1,30,1.25,1,342.52,1,0.12,0.6
